Entity,Code,Year,Road marking,Marine coatings,Personal care products,Industrial machinery,Electronics,Textile sector,Consumer and institutional products,Transportation,Other,Building and construction,Packaging
World,OWID_WRL,1990,195000,163000,7000,817000,5251000,11637000,13770000,16924000,19433000,21872000,39820000
World,OWID_WRL,1991,203000,169000,7000,846000,5444000,12129000,14277000,17601000,20160000,22684000,41350000
World,OWID_WRL,1992,215000,180000,8000.0005,898000,5787000,12959000,15177000,18766000,21440000,24119000,44021000
World,OWID_WRL,1993,224000,187000,8000.0005,934000,6024000,13560000,15801000,19597000,22333000,25116000,45901000
World,OWID_WRL,1994,246000,205000,9000,1024000.06,6608000,14951000,17336000,21564000,24513000,27558000,50433000
World,OWID_WRL,1995,256000.02,213000,9000,1062000,6858000,15596000,17993000,22447000,25454000,28606000,52424000
World,OWID_WRL,1996,274000,228000,10000,1136000,7349000,16799000,19286000,24129000,27294000,30661000,56273000
World,OWID_WRL,1997,295000,245000,11000,1219000,7890000,18125000,20708000,25982000,29319000,32922000,60512000
World,OWID_WRL,1998,308000,257000,11000,1272000,8245000,19034000,21642000,27231000,30655000,34405000,63337000
World,OWID_WRL,1999,331000,276000,12000,1365000,8861000,20558000,23263000,29353000,32965000,36978000,68182000
World,OWID_WRL,2000,349000,290000,13000,1434000,9321000,21731000,24474000,30967000,34694000,38897000,71837000
World,OWID_WRL,2001,357000,297000,13000,1466000,9542000,22355000,25060000,31795000,35538000,39820000,73664000
World,OWID_WRL,2002,380000,316000,14000,1557000,10147000,23887000,26654000,33908000,37812000,42341000,78464000
World,OWID_WRL,2003,396000,329000,15000,1618000,10562000,24985000,27751000,35399000,39383000,44072000,81814000
World,OWID_WRL,2004,421000,350000,16000.001,1717000,11228000,26686000,29506000,37737000,41888000,46843000,87116000
World,OWID_WRL,2005,433000,360000,17000,1762000,11540000,27556000,30332000,38894000,43074000,48135000,89684000
World,OWID_WRL,2006,460000,383000,18000,1869000,12262000,29417000,32236000,41443000,45793000,51134000,95452000
World,OWID_WRL,2007,486000,404000,19000,1969000,12941000,31191000,34029000,43860000,48356000,53952000,100909000
World,OWID_WRL,2008,463000,385000,18000,1872000,12324000,29842000,32415000,41886000,46076000,51366000,96262000
World,OWID_WRL,2009,475000,395000,19000,1915000,12633000,30729000,33233002,43050000,47253000,52633000,98835000
World,OWID_WRL,2010,515000,429000,21000,2066999.9,13699000,33580000,36041000,46863000,51246000,57087000,107333000
World,OWID_WRL,2011,536000,446000,22000,2139000,14240000,35171000,37465000,48897000,53273000,59350000,111730000
World,OWID_WRL,2012,556000,463000,23000,2207000,14766000,36743000,38849000,50890000,55242000,61545000,116018000
World,OWID_WRL,2013,579000,483000,24000,2288000,15383000,38564000,40476000,53214000,57555000,64123000,121045000
World,OWID_WRL,2014,589000,492000,24000,2315000,15643000,39503000,41161000,54310000,58528000,65204004,123263000
World,OWID_WRL,2015,600000,500000,25000,2427000,15942000,40518000,42235000,55330000,60280000,66882004,128013000
World,OWID_WRL,2016,607000,501999.97,26000,2419000,15903000,41251000,42938000,56049000,61139000,68234000,130901990
World,OWID_WRL,2017,630000,509000,26000,2495000,16264000,42036000,44026000,57734000,62728000,71105000,134632000
World,OWID_WRL,2018,657000,524000,27000,2599000,16815000,42869000,45307000,60075000,64575996,74301000,138448000
World,OWID_WRL,2019,682000,541000,27000,2683000,17305000,43875000,46662000,62165000,66315004,76893000,142598990